,empty-1/base,,,,,,empty-1/mod-encoding,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
driverlog-strips-automatic/instances/instance-9.lp,0.36,0.271,339,173,21,0,1.42,1.278,229,50,41,0,1.37,1.254,229,50,42,0,1.43,1.302,229,50,42,0,1.36,1.242,229,50,43,0,1.4,1.272,229,50,41,0,1.4,1.264,229,50,41,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-38.lp,2.73,2.482,21122,16565,34,0,4.26,3.285,6614,5067,68,0,3.8,2.833,2317,1600,74,498,3.95,2.986,2317,1600,73,498,3.62,3.049,3583,2520,70,373,3.45,2.811,2293,1541,66,174,3.92,2.95,3174,2228,71,414,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-40.lp,3.34,3.082,32697,24354,36,0,7.18,5.752,34237,26762,78,0,6.87,5.091,29594,23488,85,1000,7.53,5.251,28503,22979,89,1126,5.62,4.721,25433,19758,74,500,5.93,4.336,19479,14962,69,235,6.29,4.586,21413,16064,78,765,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-42.lp,9.54,9.153,94890,75351,50,0,10.78,9.267,57882,46298,103,0,8.62,7.11,29012,22357,111,1000,9.39,7.511,31134,24022,123,1458,9.08,8.01,39291,31591,100,500,7.36,5.794,22232,16215,96,305,10.32,8.89,46785,37713,108,968,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-43.lp,3.65,3.248,30417,23108,51,0,15.88,14.24,90381,80192,103,0,9.9,8.087,39674,31857,113,1000,10.36,8.019,37257,30184,119,1454,7.72,6.644,27391,21068,101,500,8.96,7.457,39771,30150,95,298,10.59,8.915,47968,40329,105,847,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-44.lp,85.33,84.89,1013692,827786,55,0,171.16,169.666,2119418,1616257,108,0,33.32,31.789,371148,277465,111,1000,26.87,23.941,257767,194967,132,1500,46.57,45.675,567892,428312,106,500,26.23,24.335,297508,216550,100,368,29.87,28.052,327753,250647,108,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-45.lp,6.18,5.834,45626,36653,48,0,127.38,125.861,972471,858108,108,0,17.51,15.699,110716,83775,111,1000,13.84,11.684,74892,56419,118,1328,14.52,13.545,93948,70223,99,500,18.09,16.493,126367,95287,95,243,16.87,15.218,102150,79796,104,853,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-46.lp,45.57,44.901,383862,309126,70,0,579.66,578.019,5059804,4267629,144,0,106.52,104.877,1099344,883531,148,1000,42.89,39.976,365194,282976,168,1500,118.49,117.417,1150178,906414,139,500,67.56,65.35,658218,495356,131,344,59.52,57.168,588885,440705,145,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-47.lp,17.58,16.964,145738,113894,68,0,13.17,11.482,53130,41413,130,0,10.79,9.305,31341,23576,142,1000,11.13,9.309,33104,24818,151,1442,9.26,8.334,29076,21808,134,500,9.33,7.959,22108,15913,124,216,9.94,8.383,24887,18284,138,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-48.lp,6.83,6.226,56931,46054,66,0,32.16,30.598,207647,185948,134,0,12.89,11.166,50117,39026,139,1000,12.17,10.038,38534,30114,148,1395,9.3,8.27,26480,19304,132,500,10.09,8.321,25787,19286,128,281,9.77,8.148,24323,17079,137,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-49.lp,71.86,71.189,628510,540292,69,0,887.15,885.607,6843572,6130442,150,0,128.92,126.574,1226311,960104,145,1000,127.89,124.517,1159366,918622,157,1500,113.49,112.473,1122622,852969,137,500,109.19,106.828,1147385,893555,134,375,57.73,55.449,554633,419567,139,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-50.lp,12.95,12.316,126324,96436,67,0,430.77,429.051,3730174,3207605,142,0,110.79,108.947,1140300,886476,141,1000,120.17,116.966,1207999,953081,163,1500,126.57,125.513,1230436,942668,135,500,60.18,58.068,610931,480920,132,396,112.03,110.383,1107460,860849,142,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-51.lp,282.37,281.37,2750179,2210115,102,0,900,900,6904629,6081359,198,0,136.25,134.238,1183009,965462,192,1000,97.8,93.76,738774,573475,211,1500,276.4,275.254,2333822,1819893,179,500,204.69,202.572,1883811,1468676,177,368,94.56,91.918,723053,572102,187,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-52.lp,22.8,21.93,153493,123802,88,0,28.46,26.736,118766,105317,176,0,16.31,14.407,42635,34705,184,1000,16.25,13.816,38813,30468,195,1498,17.88,16.819,61285,50554,175,500,16.33,14.581,45347,36992,169,270,15.5,13.706,43343,33625,180,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-53.lp,900,900,6389721,5524816,108,0,900,900,6778509,5688142,188,0,900,900,7675254,5992580,196,0,900,900,8091309,6320288,201,0,900,900,7782584,6014557,185,0,900,900,9293144,7066079,176,0,900,900,8554767,6592762,188,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-54.lp,900,900,7668282,6545417,117,0,900,900,7091858,6105761,193,0,900,900,7955318,6259538,195,0,900,900,7965000,6214825,208,0,900,900,8094270,6314973,181,0,900,900,7889808,6066172,181,0,900,900,8454240,6672677,193,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-55.lp,29.72,28.836,295541,234855,89,0,334.64,333.017,2522087,2102893,187,0,255.51,253.439,2305018,1809841,193,1000,120.95,118.25,1092909,829099,200,1500,254.24,253.057,2293390,1797493,184,500,226.08,223.708,2129613,1623127,177,392,95.68,93.731,852861,653556,188,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-56.lp,309.34,307.909,3606958,3065623,127,0,900,900,5680573,4927115,251,0,900,900,7105752,5712498,246,0,900,900,7352201,5706087,263,0,900,900,7023200,5521475,243,0,900,900,7695521,5896648,241,0,900,900,7536920,5875207,256,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-57.lp,275.94,274.525,2888505,2455516,133,0,900,900,7171273,6688150,235,0,900,900,6869085,5429385,249,0,900,900,6886548,5502084,261,0,900,900,6610458,5218258,246,0,900,900,7177208,5518123,243,0,900,900,7240014,5631397,246,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-58.lp,497.17,495.73,4971424,4299234,139,0,900,900,6110307,5179063,246,0,900,900,6718595,5286873,253,0,900,900,6782700,5308932,257,0,900,900,6701019,5274139,249,0,900,900,7614491,5807055,237,0,900,900,6982512,5481199,256,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
elevator-strips-simple-typed/instances/instance-59.lp,287.75,286.391,2132097,1845090,125,0,900,900,5691532,4959912,248,0,180.87,178.882,1300020,1011226,244,1000,90.36,87.933,627011,484097,251,1500,199.73,198.607,1429859,1103373,241,500,261.4,258.851,2055656,1616496,241,346,56.95,54.454,407994,313828,243,1000,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-1.lp,115.28,89.623,1863,1580,4013,0,900,900,0,0,8152,0,900,900,0,0,8002,0,900,900,0,0,8076,0,900,900,0,0,8022,0,900,900,0,0,8051,0,900,900,0,0,8063,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-10.lp,900,900,0,0,8088,0,900,900,0,0,8099,0,900,900,0,0,8093,0,900,900,0,0,8002,0,900,900,0,0,8050,0,900,900,0,0,8093,0,900,900,0,0,8087,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-11.lp,900,900,0,0,8016,0,900,900,0,0,8028,0,900,900,0,0,8029,0,900,900,0,0,8027,0,900,900,0,0,8028,0,900,900,0,0,8007,0,900,900,0,0,8021,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-12.lp,900,900,0,0,8014,0,900,900,0,0,8029,0,900,900,0,0,8028,0,900,900,0,0,8029,0,900,900,0,0,8022,0,900,900,0,0,8028,0,900,900,0,0,8006,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-13.lp,900,900,0,0,8019,0,900,900,0,0,8022,0,900,900,0,0,8029,0,900,900,0,0,8028,0,900,900,0,0,8027,0,900,900,0,0,8027,0,900,900,0,0,8021,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-14.lp,900,900,0,0,8014,0,900,900,0,0,8029,0,900,900,0,0,8029,0,900,900,0,0,8028,0,900,900,0,0,8029,0,900,900,0,0,8028,0,900,900,0,0,8002,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-15.lp,900,900,0,0,8015,0,900,900,0,0,8028,0,900,900,0,0,8020,0,900,900,0,0,8027,0,900,900,0,0,8028,0,900,900,0,0,8022,0,900,900,0,0,8016,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-19.lp,900,900,0,0,8031,0,900,900,0,0,8003,0,900,900,0,0,8045,0,900,900,0,0,8000,0,900,900,0,0,8000,0,900,900,0,0,8003,0,900,900,0,0,8000,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-2.lp,115.18,89.994,6124,5316,3977,0,900,900,0,0,8175,0,900,900,0,0,8120,0,900,900,0,0,8060,0,900,900,0,0,8008,0,900,900,0,0,8202,0,900,900,0,0,8119,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-3.lp,112.37,89.793,331,281,3873,0,900,900,0,0,8003,0,900,900,0,0,8015,0,900,900,0,0,8019,0,900,900,0,0,8215,0,900,900,0,0,8170,0,900,900,0,0,8211,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-4.lp,115.27,89.734,10134,8943,3876,0,900,900,0,0,8170,0,900,900,0,0,8064,0,900,900,0,0,8016,0,900,900,0,0,8020,0,900,900,0,0,8049,0,900,900,0,0,8120,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-5.lp,114.35,89.197,4893,4187,3927,0,900,900,0,0,8161,0,900,900,0,0,8157,0,900,900,0,0,8155,0,900,900,0,0,8167,0,900,900,0,0,8211,0,900,900,0,0,8064,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-6.lp,900,900,0,0,8003,0,900,900,0,0,8031,0,900,900,0,0,8127,0,900,900,0,0,8130,0,900,900,0,0,8093,0,900,900,0,0,8013,0,900,900,0,0,8130,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-7.lp,900,900,0,0,8083,0,900,900,0,0,8096,0,900,900,0,0,8098,0,900,900,0,0,8034,0,900,900,0,0,8004,0,900,900,0,0,8093,0,900,900,0,0,8045,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-8.lp,900,900,0,0,8080,0,900,900,0,0,8095,0,900,900,0,0,8016,0,900,900,0,0,8048,0,900,900,0,0,8052,0,900,900,0,0,8089,0,900,900,0,0,8089,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
freecell-strips-typed/instances/instance-9.lp,900,900,0,0,8118,0,900,900,0,0,8132,0,900,900,0,0,8027,0,900,900,0,0,8132,0,900,900,0,0,8095,0,900,900,0,0,8131,0,900,900,0,0,8132,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
grid-round-2-strips/instances/instance-1.lp,24.82,16.35,285,148,718,0,111.73,108.301,283,106,1963,0,110.74,107.612,251,96,1959,3,115.2,111.872,251,96,1959,3,109.96,106.412,251,96,1959,3,111.77,108.175,251,96,1959,3,110.71,107.5,251,96,1958,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
grid-round-2-strips/instances/instance-2.lp,114.23,62.329,10675,6685,2158,0,363.12,347.655,377061,7338,5827,0,357.36,342.561,274429,7528,5787,65,358,342.928,274429,7528,5787,65,348.28,333.811,274429,7528,5786,65,352.76,337.842,118295,3293,5771,50,355.55,340.324,361078,7972,5773,62,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-10.lp,900,900,6677383,5377363,58,0,900,900,12240598,8937278,67,0,900,900,9680432,7143660,86,0,900,900,10145837,7350988,120,0,900,900,10942816,8093224,77,0,900,900,10285389,7809487,70,0,900,900,11218922,8210723,66,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-11.lp,900,900,7068260,5931669,54,0,900,900,11495637,8343891,68,0,900,900,10668115,7838292,79,0,900,900,9973229,7242258,115,0,900,900,10389251,7733913,79,0,900,900,9999109,7594696,73,0,900,900,10066584,7502057,73,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-12.lp,900,900,6670190,5538058,53,0,900,900,11243580,8160680,75,0,900,900,10275955,7304418,104,0,900,900,10462590,7544980,114,0,900,900,11068937,8018069,73,0,900,900,11522547,8341497,66,0,900,900,11345508,8040567,84,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-13.lp,900,900,6785735,5627568,59,0,900,900,9962190,7341373,80,0,900,900,9914421,7206555,94,0,900,900,9937730,7125373,114,0,900,900,10827059,7747382,91,0,900,900,10543769,7663718,81,0,900,900,10126464,7266712,92,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-14.lp,900,900,6002394,4867250,61,0,900,900,11021155,7926269,82,0,900,900,9922392,6953697,107,0,900,900,9709379,6896463,114,0,900,900,10503266,7581160,86,0,900,900,10229903,7426355,81,0,900,900,9921595,6988137,98,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-15.lp,900,900,6569987,5457840,58,0,900,900,9133825,6686615,86,0,900,900,9711458,6873875,112,0,900,900,9316226,6615114,123,0,900,900,9974173,7058435,93,0,900,900,10588231,7638500,85,0,900,900,10299274,7328875,97,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-16.lp,900,900,5872514,4845252,60,0,900,900,9097137,6639689,97,0,900,900,8753253,6392922,108,0,900,900,8316443,6089377,106,0,900,900,9610401,6953645,97,0,900,900,8551135,6274150,82,0,900,900,9635130,6840405,103,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-17.lp,900,900,6007948,4948392,62,0,900,900,9401024,6804440,92,0,900,900,9181774,6554385,115,0,900,900,8708401,6278539,112,0,900,900,9283896,6713121,89,0,900,900,9699868,6994772,87,0,900,900,9357823,6586916,103,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-18.lp,900,900,5715233,4779742,63,0,900,900,8750304,6422485,98,0,900,900,8479636,6164157,110,0,900,900,8431380,6010607,140,0,900,900,9538402,6786753,106,0,900,900,8359101,6171868,90,0,900,900,8974144,6553866,95,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
gripper-round-1-strips/instances/instance-19.lp,900,900,5691591,4672865,71,0,900,900,8939213,6465816,102,0,900,900,8621811,6083552,126,0,900,900,8768889,6296834,116,0,900,900,8984686,6487012,100,0,900,900,9206713,6661323,97,0,900,900,11766523,7164501,115,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
